 PRINT STREAM NO.  5
 LHOUR       CH74        CH75        V290        CH77        LT416       MG5         V327        CH81        CH82        TT76        TT29        CH85        CH86        Q47         CH88        CH89        CH90        CH91        CH92       
  6.0000E+00  0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000    
  6.0000E+00  1.3931E+05  2.1807E+01  4.1792E-03  2.1163E-05  7.1490E+01  4.8855E+03  1.3945E+01  8.2179E-02  3.4734E+00  2.2867E+01  4.2664E+01  3.8465E+01  1.8540E+01  2.1591E+05  2.0430E-01  0.0000      0.0000      1.6999E+01  9.1138E+00
  7.0000E+00  1.2935E+06  2.1001E+03  1.0877E-02  2.8541E-04  1.8096E+03  6.0275E+03  1.1755E+02  1.9935E+00  9.4033E+00  2.6955E+01  4.9901E+01  3.4844E+01  1.7313E+01  8.4437E+04  1.7101E+01  0.0000      0.0000      1.4072E+01  7.8107E+00
  8.0000E+00  2.1963E+06  7.7870E+03  3.5721E-02  1.3914E-03  1.6371E+03  3.6335E+03  3.2166E+02  7.5956E+00  7.6988E+00  1.3531E+01  2.4534E+01  1.5258E+01  7.7597E+00  4.5656E+04  1.2146E+02  0.0000      0.0000      6.1362E+00  3.5948E+00
  9.0000E+00  2.6483E+06  1.4561E+04  1.2918E-01  5.6910E-03  1.2962E+03  2.2294E+03  6.1709E+02  1.5635E+01  1.2278E+01  1.4216E+01  2.5546E+01  1.1223E+01  6.0432E+00  4.1589E+04  4.4361E+02  0.0000      0.0000      5.0187E+00  2.8967E+00
  1.0000E+01  2.7633E+06  2.0747E+04  3.7745E-01  1.5812E-02  1.4774E+03  1.8464E+03  1.0529E+03  2.5174E+01  1.9592E+01  1.6762E+01  3.0237E+01  1.1000E+01  6.0260E+00  4.3761E+04  1.1532E+03  0.0000      0.0000      5.4021E+00  3.0178E+00
  1.1000E+01  2.5634E+06  2.2867E+04  9.1582E-01  3.4096E-02  1.9063E+03  1.7121E+03  1.6110E+03  3.8051E+01  2.4151E+01  1.6722E+01  3.0316E+01  9.0975E+00  4.9755E+00  4.3334E+04  2.1795E+03  0.0000      0.0000      4.7409E+00  2.6078E+00
  1.2000E+01  2.2961E+06  2.0957E+04  1.5276E+00  4.8781E-02  2.6284E+03  1.8621E+03  2.1479E+03  5.2119E+01  2.7274E+01  1.5667E+01  2.8568E+01  7.6147E+00  4.1294E+00  4.0853E+04  2.9299E+03  0.0000      0.0000      4.0567E+00  2.2185E+00
  1.3000E+01  2.0175E+06  1.7140E+04  1.8163E+00  4.9047E-02  3.4137E+03  1.8378E+03  2.4928E+03  5.8041E+01  3.5460E+01  1.7221E+01  3.1621E+01  9.4028E+00  5.0424E+00  3.4251E+04  3.0267E+03  0.0000      0.0000      4.8883E+00  2.6681E+00
  1.4000E+01  1.8446E+06  1.3029E+04  1.6627E+00  3.7623E-02  5.1439E+03  2.2416E+03  2.4265E+03  5.7682E+01  5.6986E+01  2.8739E+01  5.3100E+01  1.7880E+01  9.5592E+00  2.7831E+04  2.5651E+03  0.0000      0.0000      9.2876E+00  5.0580E+00
  1.5000E+01  1.4193E+06  6.9995E+03  1.2860E+00  2.1816E-02  6.8117E+03  2.8464E+03  1.9637E+03  4.9657E+01  6.9563E+01  4.3985E+01  8.1466E+01  3.5579E+01  1.8987E+01  2.1402E+04  1.4392E+03  0.0000      0.0000      1.9812E+01  1.0757E+01
  1.6000E+01  4.7808E+05  8.2785E+02  5.0062E-01  4.2195E-03  8.5908E+03  2.2796E+03  6.7062E+02  1.4634E+01  1.4161E+02  1.6696E+02  3.1061E+02  1.7755E+02  9.4720E+01  9.3347E+03  1.7627E+02  0.0000      0.0000      9.8866E+01  5.3119E+01
  1.7000E+01  2.5161E+04  1.4095E-21  2.7897E-02  1.5227E-26  2.0701E+03  8.1948E+01  2.0081E+01  7.8573E-01  2.3006E+02  9.0101E+02  1.2734E+03  9.2840E+02  7.1118E+02  1.2871E+03  3.2131E-22  0.0000      0.0000      4.7221E+02  3.5042E+02
  1.8000E+01  1.5866E+04  1.3828E-21  2.9000E-02  1.5490E-26  1.2597E+03  5.6561E+01  1.3627E+01  4.6063E-01  1.7122E+02  7.8898E+02  9.7262E+02  6.1392E+02  5.2550E+02  9.9310E+02  3.1940E-22  0.0000      0.0000      3.1025E+02  2.5455E+02
  1.9000E+01  1.1041E+04  1.3633E-21  2.2948E-02  1.5316E-26  9.7644E+02  3.9938E+01  9.1760E+00  2.9064E-01  1.6858E+02  6.7628E+02  8.1641E+02  6.9665E+02  6.0081E+02  9.1898E+02  3.1828E-22  0.0000      0.0000      3.5431E+02  2.9319E+02
  2.0000E+01  6.2382E+03  1.3633E-21  1.3064E-02  1.4920E-26  6.5261E+02  2.1227E+01  5.3342E+00  1.1435E-01  1.0206E+02  3.8534E+02  4.4594E+02  3.4063E+02  3.3668E+02  4.1976E+02  3.1672E-22  0.0000      0.0000      1.7653E+02  1.5991E+02
  2.1000E+01  3.1240E+03  1.3832E-21  7.9968E-03  1.4233E-26  4.3752E+02  1.1011E+01  3.4480E+00  4.2573E-02  4.6758E+01  1.7040E+02  1.8721E+02  1.3428E+02  1.5467E+02  1.9399E+02  3.1533E-22  0.0000      0.0000      6.9631E+01  6.9389E+01
  2.2000E+01  2.2463E+03  1.4087E-21  6.3389E-03  1.3506E-26  3.8234E+02  8.7177E+00  2.9053E+00  2.8324E-02  2.9715E+01  1.1132E+02  1.1917E+02  8.8418E+01  1.0787E+02  1.4256E+02  3.1390E-22  0.0000      0.0000      4.4186E+01  4.5665E+01
  2.3000E+01  1.9513E+03  1.4337E-21  5.3833E-03  1.2804E-26  3.7402E+02  8.3869E+00  2.6250E+00  2.5106E-02  2.4253E+01  9.0996E+01  9.3109E+01  7.1160E+01  9.0185E+01  1.2497E+02  3.1229E-22  0.0000      0.0000      3.6579E+01  3.9105E+01
